Gene,Importance
204092_s_at,0.005575446053588316
AFFX-DapX-3_at,0.0048595839461251025
203071_at,0.004842150883055784
222336_at,0.004741609191040148
218423_x_at,0.00410442966568262
AFFX-r2-P1-cre-5_at,0.0039214399921432
216623_x_at,0.0038346752432079035
222457_s_at,0.0038240017053612187
201710_at,0.0036290581712934288
221213_s_at,0.0035200465097096002
231059_x_at,0.0033257330002275727
218355_at,0.0032785447818818973
205653_at,0.0032768254019101507
224753_at,0.003219815062450397
208072_s_at,0.003202838724857529
224447_s_at,0.002989094507461519
204378_at,0.002941626547131853
201292_at,0.002837438629229628
219705_at,0.0028147710639172072
210347_s_at,0.002788764964956632
216836_s_at,0.0027855967363985927
234347_s_at,0.0027696035024750774
213493_at,0.002759646592138478
213523_at,0.002732999284180387
218931_at,0.0027145855892556476
229150_at,0.002680875614194756
204317_at,0.0026787446329611174
222623_s_at,0.002677858456727662
228952_at,0.002660198048830899
1555762_s_at,0.0026445370741782657
1555760_a_at,0.0026392858736512337
202954_at,0.0025908094048044056
242920_at,0.0025797372400677542
208044_s_at,0.002559895349453205
220295_x_at,0.0025532505374402455
226822_at,0.002517639129732729
229844_at,0.0025150707168726883
229097_at,0.0024801238834438084
222445_at,0.0024725621906369517
209114_at,0.0024682919419761525
211986_at,0.0024615963485857314
226076_s_at,0.002425311419285441
212956_at,0.00240683433981557
219918_s_at,0.0024059336900714833
229538_s_at,0.0024049048055015975
202240_at,0.0023924207543828597
235707_at,0.002369774565402848
223700_at,0.002367292242812006
212181_s_at,0.002366595886744104
230788_at,0.0023619995261786315
